Pick 3 Day,4,29,2002,3,1,0,,
Pick 3 Day,4,30,2002,1,8,1,,
Pick 3 Day,5,1,2002,7,5,4,,
Pick 3 Day,5,2,2002,4,7,8,,
Pick 3 Day,5,3,2002,6,8,7,,
Pick 3 Day,5,4,2002,7,5,0,,
Pick 3 Day,5,6,2002,7,5,5,,
Pick 3 Day,5,7,2002,0,3,6,,
Pick 3 Day,5,8,2002,0,9,0,,
Pick 3 Day,5,9,2002,2,1,9,,
Pick 3 Day,5,10,2002,0,8,2,,
Pick 3 Day,5,11,2002,1,4,0,,
Pick 3 Day,5,13,2002,1,9,4,,
Pick 3 Day,5,14,2002,7,8,7,,
Pick 3 Day,5,15,2002,5,0,5,,
Pick 3 Day,5,16,2002,0,3,3,,
Pick 3 Day,5,17,2002,7,3,3,,
Pick 3 Day,5,18,2002,4,2,8,,
Pick 3 Day,5,20,2002,0,8,3,,
Pick 3 Day,5,21,2002,1,7,9,,
Pick 3 Day,5,22,2002,5,7,6,,
Pick 3 Day,5,23,2002,7,4,2,,
Pick 3 Day,5,24,2002,6,3,5,,
Pick 3 Day,5,25,2002,2,0,9,,
Pick 3 Day,5,27,2002,9,3,8,,
Pick 3 Day,5,28,2002,2,5,6,,
Pick 3 Day,5,29,2002,5,5,0,,
Pick 3 Day,5,30,2002,5,5,0,,
Pick 3 Day,5,31,2002,2,2,6,,
Pick 3 Day,6,1,2002,6,1,0,,
Pick 3 Day,6,3,2002,4,7,9,,
Pick 3 Day,6,4,2002,3,9,1,,
Pick 3 Day,6,5,2002,9,8,7,,
Pick 3 Day,6,6,2002,8,0,8,,
Pick 3 Day,6,7,2002,1,0,3,,
Pick 3 Day,6,8,2002,5,0,6,,
Pick 3 Day,6,10,2002,4,3,4,,
Pick 3 Day,6,11,2002,5,3,9,,
Pick 3 Day,6,12,2002,3,5,7,,
Pick 3 Day,6,13,2002,2,3,3,,
Pick 3 Day,6,14,2002,6,4,5,,
Pick 3 Day,6,15,2002,7,3,7,,
Pick 3 Day,6,17,2002,7,2,4,,
Pick 3 Day,6,18,2002,4,6,4,,
Pick 3 Day,6,19,2002,6,9,6,,
Pick 3 Day,6,20,2002,7,6,0,,
Pick 3 Day,6,21,2002,7,6,5,,
Pick 3 Day,6,22,2002,3,7,3,,
Pick 3 Day,6,24,2002,1,2,4,,
Pick 3 Day,6,25,2002,9,9,4,,
Pick 3 Day,6,26,2002,1,6,6,,
Pick 3 Day,6,27,2002,2,9,4,,
Pick 3 Day,6,28,2002,8,9,7,,
Pick 3 Day,6,29,2002,3,4,9,,
Pick 3 Day,7,1,2002,3,1,2,,
Pick 3 Day,7,2,2002,6,4,5,,
Pick 3 Day,7,3,2002,9,1,3,,
Pick 3 Day,7,4,2002,0,4,0,,
Pick 3 Day,7,5,2002,4,4,1,,
Pick 3 Day,7,6,2002,3,9,2,,
Pick 3 Day,7,8,2002,4,4,0,,
Pick 3 Day,7,9,2002,8,6,0,,
Pick 3 Day,7,10,2002,7,0,7,,
Pick 3 Day,7,11,2002,7,5,0,,
Pick 3 Day,7,12,2002,7,7,2,,
Pick 3 Day,7,13,2002,9,5,7,,
Pick 3 Day,7,15,2002,6,9,2,,
Pick 3 Day,7,16,2002,1,9,7,,
Pick 3 Day,7,17,2002,8,2,6,,
Pick 3 Day,7,18,2002,6,2,9,,
Pick 3 Day,7,19,2002,8,3,7,,
Pick 3 Day,7,20,2002,2,4,8,,
Pick 3 Day,7,22,2002,1,4,5,,
Pick 3 Day,7,23,2002,2,5,8,,
Pick 3 Day,7,24,2002,1,1,8,,
Pick 3 Day,7,25,2002,2,9,7,,
Pick 3 Day,7,26,2002,5,1,7,,
Pick 3 Day,7,27,2002,8,6,0,,
Pick 3 Day,7,29,2002,8,7,5,,
